ranking,name,code,opendate
1,부산행,130966,2016-07-20
2,검사외전,130903,2016-02-03
3,밀정,137952,2016-09-07
4,터널,141104,2016-08-10
5,인천상륙작전,142822,2016-07-27
6,럭키,165795,2016-10-13
7,곡성,121051,2016-05-12
8,덕혜옹주,94767,2016-08-03
9,마스터,145162,2016-12-21
10,판도라,132933,2016-12-07
11,아가씨,123519,2016-06-01
12,귀향,167108,2016-02-24
13,형,142803,2016-11-23
14,아수라,173030,2016-09-28
15,굿바이 싱글,139700,2016-06-29
16,봉이 김선달,134895,2016-07-06
17,내부자들: 디 오리지널,147001,2015-12-31
18,탐정 홍길동: 사라진 마을,115504,2016-05-04
19,특별수사: 사형수의 편지,130720,2016-06-16
20,시간이탈자,124025,2016-04-13
21,동주,134899,2016-02-17
22,미씽: 사라진 여자,142625,2016-11-30
23,"당신, 거기 있어줄래요",145292,2016-12-14
24,오빠생각,136686,2016-01-21
25,"날, 보러와요",140718,2016-04-07
26,"고산자, 대동여지도",133129,2016-09-07
27,좋아해줘,136893,2016-02-17
28,스플릿,146512,2016-11-09
29,국가대표 2,141824,2016-08-10
,,,
